obiekt,cecha1,cecha2,cecha3,cecha4,cecha5,cecha6,cecha7,cecha8,cecha9,cecha10,cecha11,cecha12,cecha13,cecha14,cecha15,cecha16,cecha17,cecha18,cecha19,cecha20,cecha21,cecha22,cecha23,cecha24,cecha25,cecha26,cecha27,cecha28,cecha29,cecha30,cecha31,cecha32,cecha33
80,3,3,3,1,3,3,1,5,3,,,,,,,,,,,,,,,58,60,43,53,,,,,14,4
80,3,3,1,1,4,3,5,4,3,7,3,2,9,5,1,1,1,3,1,1,3,5,5,77,77,57,59,4,1,7,8,4,6
80,3,5,1,1,4,3,1,4,3,7,3,2,9,5,1,1,1,3,1,1,3,5,5,69,81,61,63,3,9,8,5,1,9
87,5,5,1,1,3,3,7,4,1,,,,,,,,,,,,,,,75,76,118,109,3,5,8,5,13,14
87,5,5,1,1,2,2,5,6,1,7,3,4,9,5,2,1,1,3,1,1,3,6,5,85,87,118,115,2,7,7,7,8,12
87,5,5,1,1,3,2,7,4,1,7,2,4,9,5,1,1,3,3,1,2,3,6,5,90,92,120,119,3,2,7,4,6,9
89,3,5,7,1,4,3,5,3,1,3,2,7,9,7,1,1,3,5,2,1,3,6,3,60,67,60,73,3,1,5,1,4,4
89,5,5,1,1,3,2,7,5,1,7,3,6,9,7,2,1,3,5,2,2,3,6,5,82,74,87,85,3,5,5,6,5,7
89,3,5,1,1,4,2,5,5,1,7,3,6,9,7,2,1,3,5,2,2,3,6,5,83,85,91,93,3,2,5,4,4,9
91,5,3,5,3,3,3,5,4,5,7,3,6,9,3,1,1,3,5,1,1,3,4,9,87,93,100,104,4,5,6,8,4,5
91,5,5,1,1,4,2,5,7,3,7,4,2,9,3,1,1,3,3,1,1,3,5,7,108,95,118,112,4,2,6,7,4,7
91,5,5,1,1,3,2,5,5,3,7,4,6,9,3,1,1,3,3,1,1,3,4,7,98,100,115,102,4,4,6,5,4,9
93,7,5,1,1,4,3,5,1,3,7,2,6,9,3,1,1,5,5,2,1,3,6,3,45,51,69,69,2,3,5,8,4,1
93,5,3,1,1,4,3,5,1,3,7,4,6,9,3,1,1,3,3,1,1,3,6,3,56,56,72,78,2,4,4,9,4,2
93,5,3,1,1,4,2,5,1,3,7,4,6,9,3,1,1,3,3,1,1,3,6,7,73,80,81,82,2,7,5,5,3,9
95,5,5,1,1,1,3,5,8,1,7,2,4,9,3,1,1,1,3,1,1,2,6,9,49,48,62,71,2,1,5,8,4,2
95,5,5,1,1,1,2,5,5,1,7,3,4,9,3,2,1,3,1,2,1,2,6,7,48,51,63,62,2,4,6,3,5,2
95,5,5,3,1,3,2,5,5,1,7,3,5,9,3,2,1,1,1,2,1,2,6,7,56,52,71,69,2,6,5,7,5,3
96,5,5,1,1,4,2,5,5,3,7,2,7,9,3,2,1,3,3,1,1,3,2,5,105,112,128,127,2,9,6,2,4,2
96,5,5,1,1,4,2,7,5,3,7,3,4,9,5,2,1,3,1,2,5,3,2,7,119,117,139,137,3,7,1,5,7,11
